company,position,description,location,formatted_work_type,url,formatted_experience_level,requirement
Corcoran Sawyer Smith,Marketing Coordinator,"Job descriptionA leading real estate firm in New Jersey is seeking an administrative Marketing Coordinator with some experience in graphic design. You will be working closely with our fun, kind, ambitious members of the sales team and our dynamic executive team on a daily basis. This is an opportunity to be part of a fast-growing, highly respected real estate brokerage with a reputation for exceptional marketing and extraordinary culture of cooperation and inclusion.Who you are:You must be a well-organized, creative, proactive, positive, and most importantly, kind-hearted person. Please, be responsible, respectful, and cool-under-pressure. Please, be proficient in Adobe Creative Cloud (Indesign, Illustrator, Photoshop) and Microsoft Office Suite. Above all, have fantastic taste and be a good-hearted, fun-loving person who loves working with people and is eager to learn.Role:Our office is a fast-paced environment. You’ll work directly with a Marketing team and communicate daily with other core staff and our large team of agents. This description is a brief overview, but your skills and interests will be considered in what you work on and as the role evolves over time.Agent Assistance- Receive & Organize Marketing Requests from Agents- Track Tasks & Communicate with Marketing team & Agents on Status- Prepare print materials and signs for open houses- Submit Orders to Printers & Communicate & Track DeadlinesGraphic Design & Branding- Managing brand strategy and messaging through website, social media, videos, online advertising, print placement and events- Receive, organize, and prioritize marketing requests from agents- Fulfill agent design requests including postcards, signs, email marketing and property brochures using pre-existing templates and creating custom designs- Maintain brand assets and generic filesEvents & Community- Plan and execute events and promotions- Manage Contacts & Vendors for Event Planning & SponsorshipsOur company is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.Job Type: Full-time
Pay: $18-20/hour
Expected hours: 35 – 45 per week
Benefits:Paid time offSchedule:8 hour shiftMonday to FridayExperience:Marketing: 1 year (Preferred)Graphic design: 2 years (Preferred)Work Location: In person
","Princeton, NJ",Full-time,https://www.linkedin.com/jobs/view/921716/?trk=jobs_biz_prem_srch,,"Requirements: 

We are seeking a College or Graduate Student (can also be completed with school) with a focus in Planning, Architecture, Real Estate Development or Management or General Business. Must be able to work in an extremely fast paced environment and able to multitask and prioritize."
The National Exemplar ,Assitant Restaurant Manager,"The National Exemplar is accepting applications for an Assistant Restaurant Manager.
We offer highly competitive wages, healthcare, paid time off, complimentary dining privileges and bonus opportunities. 
We are a serious, professional, long-standing neighborhood restaurant with over 41 years of service. If you are looking for a long-term fit with a best in class organization then you should apply now. 
Please send a resumes to pardom@nationalexemplar.com. o","Cincinnati, OH",Full-time,https://www.linkedin.com/jobs/view/10998357/?trk=jobs_biz_prem_srch,,"We are currently accepting resumes for FOH - Asisstant Restaurant Management with a strong focus on delivering high quality customer service. Prefer 1 to 3 years FOH management experience. Candidate should be a self-starter, proactive, attentive to details and like developing others. Must have a strong sense of teamwork and strong witten and verbal communication skills. Have a keen interest in service, food and learning. Passion for excellence and doing things right."
"Abrams Fensterman, LLP",Senior Elder Law / Trusts and Estates Associate Attorney,"Senior Associate Attorney - Elder Law / Trusts and Estates  Our legal team is committed to providing each client with quality counsel, innovative solutions, and personalized service. Founded in 2000, the firm offers the legal expertise of its 115+ attorneys, who have accumulated experience and problem-solving skills over decades of practice.
We are a prominent Lake Success Law Firm seeking an associate attorney for its growing Elder Law and Estate Planning practice. The successful candidate will be a self-motivated, detail-oriented team member with strong communication skills and a desire to grow their practice. Experience with Estate Planning, Administration, and Litigation and is preferred.
 Responsibilities will include:
Counseling clients with regard to estate planning and asset protection;Formulating and overseeing execution of Medicaid and estate plans;Drafting wills, revocable and irrevocable trusts, powers of attorney, health care proxies, and living wills;Estate Administration;Trust Administration;Court Appearances for Estate and Proceedings;Supervising paralegals 
Qualifications:Juris Doctor degree (J.D.) from an accredited law schoolLicensed to practice law in New York10-15 years of experienceExperience with various advance directives, trusts, and willsStrong analytical and problem-solving skillsAbility to build rapport with clientsExcellent written and verbal communication skills
 Competitive salary commensurate with experienceSalary: $140,000- $175,000Benefits: 401k, Medical, Dental, Life Insurance, PTO, and more
This position is based out of Lake Success, NY ","New Hyde Park, NY",Full-time,https://www.linkedin.com/jobs/view/23221523/?trk=jobs_biz_prem_srch,,"This position requires a baseline understanding of online marketing including Search Engine Marketing, Search Engine Optimization, and campaign analytics. The ideal candidate must be an analytical and detailed dynamic, self-starter who is proactive, and able to multitask effectively. This individual must be a strategic thinker with excellent verbal and written communication, as well strong presentation skills and the ability to work independently in an organized manner."
Children's Nebraska,Respiratory Therapist,"At Children’s, the region’s only full-service pediatric healthcare center, our people make us the very best for kids. Come cultivate your passion, purpose and professional development in an environment of excellence and inclusion, where team members are supported and deeply valued. Opportunities for career growth abound as we grow our services and spaces, including the cutting-edge Hubbard Center for Children. Join our highly engaged, caring team—and join us in providing brighter, healthier tomorrows for the children we serve. Children's is committed to diversity and inclusion. We are an equal opportunity employer including veterans and people with disabilities.
A Brief OverviewProvides appropriate respiratory care specific to the pediatric population in accordance with the hospital policy/procedure. Assesses, plans and implements appropriate respiratory plan of care based on the cardiopulmonary needs of the patients. Evaluates effectiveness of plan of care and recommends revisions to the multidisciplinary care team
Essential Functions• Set up and operate devices such as mechanical ventilators, therapeutic gas administration apparatus, environmental control systems, and aerosol generators, following specified parameters of treatment. • Determine requirements for treatment, such as type, methods and duration of therapy, precautions to be taken, and medication and dosages, compatible with physician’s orders. • Read physicians’ orders, measure arterial blood gases, and review patient information to assess patient’s condition. • Explain treatment procedures to patients to gain cooperation and allay fears. • Monitor patient’s physiological responses to therapy such as vital signs, arterial blood gases and blood chemistry changes and consult with physician if adverse reactions occur. • Administer therapeutic gases including nitrogen, nitric oxide, heliox, etc. • Enforce safety rules and ensure careful adherence to physicians’ orders. • Maintain charts that contain patient pertinent identification and therapy information. • Inspect, clean, test, and maintain respiratory therapy equipment to ensure equipment is functioning safely and efficiently and notify manager/supervisor when repairs are necessary. • Educate patients and/or their families about the patient’s condition and teach appropriate disease management techniques such as breathing exercises and the use of medications and respiratory equipment. • Perform broncho-pulmonary drainage and assist or instruct patients in performance of breathing exercises. • Conduct lung capacity tests to evaluate patient’s cardiopulmonary functions. • Provide emergency care, including artificial respiration, external cardiac massage and assistance with cardiopulmonary resuscitation. • Complete all required respiratory therapy competency tests within specified timeline. • Demonstrate competency in identified technical skills for the respiratory department at the specific work area.Other duties may also include Clinical Instructor (schedule dependent on the contract with Respiratory Therapy schools): • Supervise contracted Respiratory Therapy (RT) students from specified schools in the clinical hospital setting. • Orients RT students to their role in the hospital, which includes scope of service, policies and procedures, patient safety, and professionalism. • Orients RT students to the equipment used by RT at Children’s. • Provides opportunities for directly supervised hands on learning in the clinical setting. • Responsible for accurate completion and documentation of all Respiratory Therapy performed with RT students. • Responsible for accurate “Hand off” of patient information and ordered Respiratory Therapy performed with RT students.Regular attendance at work is an essential function of the job.Perform physical requirements as described in the Physical Requirements section
Education QualificationsGraduate of an accredited AMA approved school of respiratory care accredited by the National Board of Respiratory Care Required andBachelor's Degree From an AMA approved accredited school in respiratory care PreferredExperience QualificationsMinimum 1 year experience in respiratory therapy Preferred andExperience working with pediatric patients PreferredSkills and AbilitiesDemonstrates competency in technical skills related to the Respiratory Therapy department.Licenses and CertificationsRCP - Licensed Respiratory Care Practitioner Current and valid Nebraska license as a Respiratory Care Practitioner Required andBCLS - Basic Life Support through the American Heart Association Required andRRT - Registered Respiratory Therapist Current and valid National Registered Respiratory Therapist (RRT) credential within 1 Year Required andCurrent and valid National Registered Neonatal/Pediatric Respiratory Therapist (RRT-NPS) credential within three years of hire. Required andPALS - Pediatric Advanced Life Support within 180 Days Required
Children’s is the very best for kids and the very best for your career! At Children’s, we put YOU first so together, we can improve the life of every child!","Omaha, NE",Full-time,https://www.linkedin.com/jobs/view/1218575/?trk=jobs_biz_prem_srch,,"• Requires the ability to communicate effective, both verbally and in writing • Requires basic computer skills 

EDUCATION AND EXPERIENCE: 

• Graduate of an accredited school of occupational therapy • Must possess current valid Nebraska State License in Occupational Therapy • Must possess current valid registration by the NBCOT ( National Board for Certification in Occupational Therapy) • Must be certified in Basic Life Support • Experience with pediatric patients preferred"
Bay West Church,Worship Leader,"It is an exciting time to be a part of our church! We are looking for the right energetic leader to join the mission to make disciples for Jesus in Palm Bay, Florida and beyond.
What type of candidate are we looking for:This best fit for the position will lead our worship team to creatively craft meaningful, inspiring musical worship in our worship experiences. He or she will also shepherd our team, and help disciple them to make disciples.The ideal candidate will invest their lives as a part of our church family. This position is also for someone who is willing to own this ministry and work to see it move forward.
Skills to have:- A vibrant, growing relationship with Jesus Christ- Faithful commitment to the vision, mission and leadership standards of our church- Ability to lead our worship musicians to create excellent, authentic modern worship (example: Hillsong, Elevation, etc...)- Exceptional vocal and/or instrumental talent- Multitracks, Planning Center Online, ProPresenter are required or must learn quickly.
Responsibilities:- Create musical worship for Sunday morning worship gathering- Conduct rehearsals to prepare for Sundays- Other duties as assigned**** Local connections for team building are a plus**This position is part-time to start with the ability to increase as the demands of the church require it.
Hours per week:Less than 10
When you apply, include a link to you leading worship in a worship service setting.","Palm Bay, FL",Part-time,https://www.linkedin.com/jobs/view/2264355/?trk=jobs_biz_prem_srch,,"Knowledge, Skills and Abilities: 1. Proficient with computer technology such as Microsoft Office. Also proficiency with (or ability to learn) ProPresenter and online applications such as Google Calendar and Planning center. Understanding and skill in Photoshop, Adobe Premiere a plus.
 2. Good writing, analytical and problem‐solving skills.
 3. Good knowledge of social networking applications such as Facebook, Twitter.
 4. Ability to communicate effectively verbally and in writing.
 5. Ability to operate standard office equipment, including but not limited to, computers, telephone systems, copiers/printers and facsimile machines.
 6. Ability to follow oral and written instructions.
 7. Follow-up skills with great attention to detail.
 8. Coachable ability in graphic design and minimal video editing ability a HUGE plus and preferred, but not required. 
Minimum Qualifications: 1. At least two (2) years of experience in general office responsibilities and procedures and two (2) years of graphics design and media background.
 2. Must be proficient in computer usage, both internet and word processing.
 3. Knowledge of principles and practices of basic office management and organization.
 4. Ability to work well either alone or as part of a team.
 5. Must be fully committed to the mission of FBC Melbourne/Bay West Church"
"Glastender, Inc.",Inside Customer Service Associate,"Glastender Inc. is a family-owned manufacturer of commercial bar and restaurant equipment, known for its high-quality products and innovative solutions. With a strong commitment to the customer experience, Glastender has been serving the industry for over 50 years, providing establishments with state-of-the-art equipment and exceptional service.We are currently looking for an Inside Customer Service Associate who can communicate with outside customers by providing exceptional customer service by addressing their concerns and resolving issues promptly (inquiries, orders, and product information via phone and email). Qualified candidates would be able to perform and possess the following skills:Design bar equipment layouts using the best application of Glastender products.Compile and submit quotations, perform order verification, order entry, and complete detailed shop drawings for use in production.Strong communication and organizational skills and demonstrated attention to detailStay updated on product knowledge and industry trends to effectively assist customers.Maintain customer records and update the computer systems with relevant information.Strong computer experience, with word processing and spreadsheet software (AutoCad software experience preferred). Able to multi-task and navigate different software programs efficiently.Experience in a business sales setting and/or college courses in business and marketing preferredPrevious customer service experience requiredIf you are excited about providing exceptional customer service and thrive in a collaborative team environment, we want to hear from you. You will play a pivotal role in supporting our sales team and ensuring a seamless experience for our customers. This position is perfect for individuals with a passion for customer service and a great approach to sales support.Join Glastender Inc. and be a part of an industry leader committed to excellence in every aspect of our business.","Saginaw, MI",Full-time,https://www.linkedin.com/jobs/view/9615617/?trk=jobs_biz_prem_srch,,"The Production Supervisor must possess strong leadership skills with a demonstrated ability to organize a team and its production processes to meet specific targets. A college degree and/or five to seven years related work experience is required. Knowledge of lean manufacturing concepts is also required. This person should also posses excellent communication and organizational skills. Computer competency is necessary, as well as good presentation and training skills."
,Appalachian Highlands Women's Business Center,"FULL JOB DESCRIPTION – PROGRAM DIRECTOR Appalachian Highlands Women’s Business Center Kingsport, TennesseeDepartment: Kingsport Office of Small Business Development & Entrepreneurship (KOSBE)Reports to: Chief Business Development Officer, Kingsport Chamber - KOSBEDirect Reports: AppH-WBC StaffType of Position: DirectorWork Schedule: Full-Time (40 hours per week). Exempt Status: ExemptLocation: This is not a remote position, this is in office in Kingsport, Tenn. AppH-WBC is located in Kingsport, Tennessee, under the Kingsport Chamber and within the Kingsport Office of Small Business Development & Entrepreneurship (KOSBE). The office is within walking distance to downtown living, dining and shopping.ABOUT KOSBE:In 2004, the Kingsport Chamber and City of Kingsport jointly formed the Kingsport Office of Small Business Development & Entrepreneurship (KOSBE), to specifically nurture, counsel and encourage the continued robust growth and development of startups and existing small businesses in Kingsport, Tennessee. We are a technical assistance provider offering assistance including but not limited to: forming a business, how to write business plans, business plan reviews, obtaining capital for start-up or expansion, pursuing government contracts, analyzing financial and management performance, proving business case, developing existing and new business, and planning for succession.On February 15, 2011 the Kingsport Chamber announced the new partnership between KOSBE and the Tennessee Small BusinessFULL JOB DESCRIPTION – PROGRAM DIRECTOR Appalachian Highlands Women’s Business Center Kingsport, TennesseeDevelopment Center (TSBDC) becoming the TSBDC at ETSU Kingsport Affiliate Office. Through its affiliation with TSBDC at ETSU, the Kingsport Affiliate Office covers a wider service area, including Grainger, Hamblen, Hancock, Hawkins and Sullivan counties.ABOUT THE APPALACHIAN HIGHLANDS WOMEN’S BUSINESS CENTER:SBA Women's Business Centers (WBCs) are a part a national network of entrepreneurship centers throughout the United States and its territories, which are designed to assist women in starting and growing small businesses. The mission of the Appalachian Highlands Women’s Business Center (AppH-WBC) is to serve women-owned small business concerns and women entrepreneurs by:Providing business training and counselingFacilitating securing federal contracts and access to credit andcapitalConnecting clients to the full array of SBA resourcesPROGRAM HIGHLIGHTS:The Small Business Administration is a program partner and the primary funding agency for the AppH-WBC.A cooperative agreement exists between the funding partner and the Kingsport Chamber Foundation which details program goals, objectives and expected outcomes.The client and program service area includes 10 counties: Sullivan, Grainger, Hamblen, Hancock, Hawkins, Carter, Johnson, Greene, Washington and Unicoi. Primary servicing will be done in Kingsport, however, traveling to surrounding counties is also required when necessary.Collaboration between internal programs is expected, in addition to partnerships with community resources including state agencies, local municipalities and trade organizations.FULL JOB DESCRIPTION – PROGRAM DIRECTOR Appalachian Highlands Women’s Business Center Kingsport, Tennessee• This job requires occasional overnight travel including both in-state and out-of-state travel, and some weekend and evening hours. All travel by personal vehicle is reimbursed at current General Services Administration (GSA) per diem rates.ABOUT THIS ROLE:This position is responsible for the development training programs that address the needs of women and minority entrepreneurs. The position will manage human and financial resources of the organization to achieve the mission of the AppH-WBC. The position will develop and foster partnerships with other resource providers in the service area to offer collaborative, innovative and a comprehensive scope of services to meet the needs of the client.IN THIS ROLE, YOU WILL:Provide strategic direction and guidance in alignment with the AppH-WBC mission and vision.Develop and deliver training and counseling programs for women and minority entrepreneurs.Plan and oversee the execution of AppH-WBC’s conferences, seminars and education and training events across service area.Establish an advisory council that supports the AppH-WBC’s vision.Work with the Kingsport Chamber leadership and staff in support ofprogram operations and fiscal management.Oversee AppH-WBC financial reporting, approve expenditures, andmanage AppH-WBC budget.Provide performance reports and statistical activities to SBA asrequired and other groups as needed, ensuring deadlines are metand information is accurate.Manage all marketing and publishing campaigns, AppH-WBCnewsletters and marketing materials.Oversee the AppH-WBC client database.FULL JOB DESCRIPTION – PROGRAM DIRECTOR Appalachian Highlands Women’s Business Center Kingsport, TennesseeMaintain an effective record-keeping and reporting system to document various aspects of AppH-WBC services supplied to clients including specific workshops and training topics, and identification of client impact and outcomes.Provide oversight of the AppH-WBC website content in accordance with SBA guidelines.Provide oversight of performance of AppH-WBC personnel, private consultants, and contractors to ensure optimization of program resources.Establish a cohesive team, clearly communicating technical leadership and expertise, department mission, functions, and procedures focused on staff development and long-term succession planning.Identify and engage in program fundraising as approved by the Kingsport Chamber Foundation and SBA to sustain and grow AppH- WBC operations through sponsors, cooperative agreements, grants, and contract opportunities with public or private organizations.Develop, coordinate, and implement the overall marketing of AppH- WBC services to existing and potential clients, stakeholders, and community partners.Perform related duties and responsibilities as required. PERFORMANCE INDICATORS:Advisory Council: Identify relevant subject matter experts to serve in an advisory capacity to the AppH-WBC as advocates and ambassadors of the AppH-WBC and its programming.Partnerships and Engagement: Develop relationships in the service area to engage in the service offerings and to attract clients and resource partners to the AppH-WBC.Fundraising: Engage in fundraising activities in compliance with SBA guidelines to support the operations of the AppH-WBC, and to meet budget and match requirements.FULL JOB DESCRIPTION – PROGRAM DIRECTOR Appalachian Highlands Women’s Business Center Kingsport, Tennessee• Staff development and expectations: Create performance development plans in partnership with staff to promote a career growth strategy, and to optimize staff talent and employee well- being.DESIRED SKILLS AND EXPERIENCE:Program development.Higher education or relevant certificate program completion.Serial entrepreneur who has started, scaled, and exited multiplecompanies.An equivalent combination of education and experience sufficientto successfully perform the essential job duties may be considered.Demonstrated knowledge and experience of community economicdevelopment, Small Business counseling, business acumen andentrepreneurship, budget and financial statements.Excellent customer service & leadership skills.A demonstrated track record of successful project management.Self-starter and the ability to meet deadlines, manage timelines andbudgets.Demonstrated success in delivering high-quality work products on aconsistent, reliable basis.Highly organized and detail oriented.Proficiency with Microsoft products, Excel, Customer RelationshipManagement systems, Learning Management Systems, ProjectManagement tools, and social media platforms.Ability to take on responsibilities independently with generalsupervision.Ability to multi-task under deadlines and work well under pressure.Operates in confidentiality and integrity.Works collaboratively and serves as primary interface with variousstakeholders.FULL JOB DESCRIPTION – PROGRAM DIRECTOR Appalachian Highlands Women’s Business Center Kingsport, TennesseeExcellent oral and written communication skills; strong understanding of organizational behavior and design; strong interpersonal and relationship skills; and a proven ability to work with diverse communities, leaders, and staff.Strong facilitation, consensus building, and strategic thinking skills are required.Skilled at fundraising and can make the ask. WORK ENVIRONMENTPrivate office.Shared resource center and use of some shared office equipment.Shared conference space(s).Shared front desk receptionist.YOU CAN EXPECT:Salary commensurate with experience.Culture of camaraderie with a supportive environment wherecolleagues form genuine friendships.A competitive benefits package including paid time off and sickleave, health and dental insurance, life and long-term disability insurance, and a 401(k)-retirement plan with employer contributions (5%) and optional employee pre-tax contributions.A background check conditional for job offer.The Kingsport Chamber Foundation is an equal opportunityemployer.Professional development (mandatory attendance at industryconferences and training).HOW TO APPLY:For consideration, interested candidates must submit a resume to hr@kingsportchamber.org by May 3rd, 2024, 6:00 PM EDT. ","Kingsport, TN",Full-time,https://www.linkedin.com/jobs/view/56482768/?trk=jobs_biz_prem_srch,,"Skills/Qualifications: Two-year or four-year degree in business or marketing and 0—2 years of previous experience. Position requires outstanding verbal skills and the ability to handle multiple tasks. Must be proficient in Microsoft Word, Outlook, Excel, Power Point, and Constant Contact. Social media knowledge and some graphic design skills would be a definite advantage. "
,Structural Engineer,"Universal Structural Engineers is seeking a structural engineer with or without a P.E. license who is self-motivated and willing to thrive with every new challenge. Our firm designs a diverse range of projects from new schools to seismic retrofit to government buildings in Japan. Emphasis is placed on an innovative, interactive approach to quality design.  
Competitive pay and benefits provided. Please visit us on the web at www.UniversalStructuralEngineers.com. ","San Mateo, CA",Full-time,https://www.linkedin.com/jobs/view/56924323/?trk=jobs_biz_prem_srch,,"Job Overview: Manage a project from start to finish under the supervision of a S.E. Manage personnel assisting in the project. Collaborate with fellow engineers to provide the most efficient, cost effective design. Understanding of current building codes. Work with the following software: Lpile, Risa, Ramsteel, Enercalc, Excel and similar software. Work with Architects and Contractors to discuss project requirements and quickly resolve issues. Analyze, design and detail structures, respond to plan check comments and manage construction administration. Perform field visits to document existing structures. Write reports. Perform field visit to fill out ASCE 31 checklists and analyze building buildings per ASCE 31 and ASCE 41."
Shannon Waltchack,Controller,"WORK @ SWShannon Waltchack (SW) is seeking a Commercial Property Manager to manage a portion of its commercial real estate portfolio. ABOUT SWAt SW, We Help People - our clients, investors and tenants - maximize value, build wealth, see the future, cultivate relationships, and make great real estate decisions. Our experienced team is rooted in our core values: Gratitude, Integrity, Drive & Innovation. We started our property management department to enhance and protect our own properties. Realizing our own success and knowing others could benefit from it, we expanded this service to include our clients and we now manage over 125 properties throughout the United States. ABOUT THE POSITIONReporting to the VP Finance & Administration (VP), the Controller will help oversee the responsibilities of the Accounting Department, specifically, the accounting operations of the real estate portfolio of Shannon Waltchack affiliates and Third-Party Owners managed by Shannon Waltchack. The Controller should relieve the VP of certain responsibilities and provide general oversight of accounting items including Accounts Receivable, Accounts Payable, reconciliations, property financials and other Property Accounting functions. The Controller will supervise staff as determined by the VP. Essential Responsibilities include, but are not limited to:· Develop, document, and implement internal controls· Lead, manage and hold accountable direct reports· Prepare, review, adjust and post Journal Entries· Treasury management, lender and bank reconciliations· Oversee Charge and Receipts for properties· Manage Check Run and ACH Payments· Prepare and approve Wires· Oversee financial statement reporting, accruals, and adjustments for properties· Compile quarterly asset management report and make investor distributions· Oversee 1099 Preparation and distribution· Oversee OPEX reconciliations· Oversee Property Contract administration and Vendor compliance· Various activities needed to support the VP, President, Partners and Investors PREFERRED QUALIFICATIONSBachelor’s degree in accounting or related discipline is preferredCertified Public Accounting (CPA) DesignationMinimum 5 years experience in real estate accountingAbility to comprehend, analyze, and interpret real estate terms, principals, and documentsHigh degree of initiative, self-direction, and attention to detailExcellent written and oral communication skillsStrong organizational and analytical skillsMust be proactive, responsive and resourcefulAbility to multi-task and work well under pressure requiredDemonstrated knowledge of Microsoft Office 365Yardi Property Management Software
","Birmingham, AL",Full-time,https://www.linkedin.com/jobs/view/115639136/?trk=jobs_biz_prem_srch,,"Strong interpersonal communication skills and strong organizational skills are a must. Must be proficient in Microsoft Word, Excel and have excellent computer skills."
,Sheet Metal Fabricator,Sheet metal fabricator for in house shopWelding & soldering skills are very helpfulInsulated shopTo form & fabricate custom metal trim/gutters/downspouts/etc for use in our construction projectsPaid weekly ,"Mineral Wells, TX",Full-time,https://www.linkedin.com/jobs/view/134286190/?trk=jobs_biz_prem_srch,,Data Entry Filing Receptionist Duties Customer Service Microsoft Word Microsoft Excel Calls Phone Etiquette Answer Telephone Skills Teamwork Microsoft Office Spreadsheets Appointment Scheduling Multi Tasking Multi-line Phone Office Equipment Customer Satisfaction Organization Skills Confidentiality Telephone Reception 
